Game,Datetime,Market,Event/Person/Team,Odds,Update timestamp
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Over 181.5,1.88,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Under 181.5,1.96,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Match to go into overtime - Regulation Time,Yes,9,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Match to go into overtime - Regulation Time,No,1.03,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIGUEL BEERMEN - SAN MIGUEL BEERMEN,1.75,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,Draw - SAN MIGUEL BEERMEN,30,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIG COFFEE MIXERS - SAN MIGUEL BEERMEN,6,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIGUEL BEERMEN - Draw,24,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,Draw - Draw,101,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIG COFFEE MIXERS - Draw,24,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIGUEL BEERMEN - SAN MIG COFFEE MIXERS,9.6,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,Draw - SAN MIG COFFEE MIXERS,50,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIG COFFEE MIXERS - SAN MIG COFFEE MIXERS,3.1,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Terrafirma Dyip,3.4,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Phoenix Fuel Masters,1.34,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Terrafirma Dyip +6.5,1.98,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Phoenix Fuel Masters -6.5,1.87,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Over 196.5,1.92,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Under 196.5,1.93,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 14:48
